»Ìslo;N·zev;VoliËi v seznamu;VydanÈ ob·lky;VolebnÌ ˙Ëast v %;OdevzdanÈ ob·lky;PlatnÈ hlasy; % platn˝ch hlas˘;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
505081;Senice na HanÈ;1†504;942;62,63;942;939;99,68;69;2;0;91;0;89;118;9;3;9;0;0;63;0;21;234;1;1;102;0;3;6;6;107;5
552267;SeniËka;285;209;73,33;209;205;98,09;24;0;0;17;0;4;24;0;0;1;0;1;17;0;3;55;0;0;26;0;0;0;0;32;1
552151;SkrbeÚ;932;573;61,48;573;569;99,30;47;0;1;37;2;32;51;9;5;3;0;0;55;1;32;143;0;4;49;0;1;2;0;93;2
505111;Slatinice;1†382;894;64,69;890;841;94,49;57;1;2;71;0;28;79;19;5;14;3;1;43;1;28;294;1;0;70;0;3;3;1;110;7
552194;SlavÏtÌn;158;87;55,06;87;87;100,00;4;0;0;6;0;2;7;0;2;0;0;1;10;0;1;25;0;1;17;0;0;3;0;8;0
569054;Strukov;127;72;56,69;72;71;98,61;5;0;0;5;0;0;8;1;1;0;4;0;7;1;0;11;0;0;18;0;1;0;0;9;0
547018;St¯eÚ;480;313;65,21;313;313;100,00;23;0;0;43;0;12;39;4;3;3;0;0;27;0;3;77;0;1;34;0;1;0;0;43;0
569771;Suchonice;145;99;68,28;99;99;100,00;5;0;0;6;0;5;15;1;1;0;0;0;4;0;7;21;0;0;20;0;2;1;0;11;0
552429;SvÈsedlice;162;100;61,73;100;99;99,00;3;0;0;9;0;1;10;0;1;0;0;0;10;0;2;22;0;0;15;0;0;0;0;26;0
552011;ätarnov;583;390;66,90;390;386;98,97;23;0;1;33;1;16;26;1;1;10;1;0;32;0;9;131;0;0;38;0;5;1;0;54;3
505161;ätÏp·nov;2†839;1†707;60,13;1†703;1†691;99,30;116;9;3;125;0;54;152;20;12;15;3;11;160;3;44;546;0;8;129;0;18;4;6;247;6
505188;äternberk;10†931;6†391;58,47;6†389;6†340;99,23;698;3;7;481;6;176;425;60;32;79;5;5;586;6;202;2†013;8;8;372;3;38;16;12;1†090;9
505218;äumvald;1†380;723;52,39;723;717;99,17;67;0;1;51;2;38;65;5;7;11;0;1;36;0;18;250;0;0;39;0;1;1;1;123;0
505269;TÏöetice;1†021;634;62,10;634;628;99,05;72;0;0;31;2;35;29;5;2;14;0;0;52;0;19;181;0;2;86;0;1;3;0;91;3
552089;TovÈ¯;483;339;70,19;339;334;98,53;40;2;0;11;0;18;18;7;0;2;0;0;42;1;23;109;0;0;25;0;6;0;0;26;4
505293;Troubelice;1†515;937;61,85;937;933;99,57;64;1;1;73;1;59;88;5;7;7;4;0;79;1;35;265;2;1;91;3;2;2;4;133;5
505366;Tröice;1†325;811;61,21;811;808;99,63;62;0;0;61;1;26;77;4;8;16;0;1;80;0;22;291;0;0;56;1;4;0;2;95;1
505501;⁄jezd;1†163;653;56,15;653;652;99,85;39;0;0;54;0;19;62;3;6;6;2;4;47;2;8;249;1;1;43;0;9;3;1;90;3
505587;UniËov;9†410;5†331;56,65;5†326;5†298;99,47;536;4;9;441;6;164;523;49;47;47;4;12;548;2;188;1†769;3;6;272;0;28;13;8;605;14
552364;⁄stÌn;336;224;66,67;224;221;98,66;30;0;0;17;2;8;12;2;3;1;1;0;17;0;8;50;0;0;26;0;3;2;0;39;0
505609;Velk· Byst¯ice;2†588;1†698;65,61;1†696;1†684;99,29;195;2;4;105;3;68;116;20;11;20;3;3;163;1;79;501;2;6;169;1;10;6;11;175;10
505650;Velk˝ T˝nec;2†193;1†437;65,53;1†435;1†423;99,16;110;0;0;107;1;51;81;18;11;31;6;6;157;1;50;422;0;8;140;0;10;2;2;203;6
505668;Velk˝ ⁄jezd;1†042;629;60,36;629;624;99,21;61;0;1;48;3;23;36;7;7;3;1;1;50;1;27;229;0;0;42;0;0;6;1;76;1
552119;VÏrovany;1†123;644;57,35;643;638;99,22;54;0;1;40;0;18;50;9;0;6;2;0;44;2;12;217;2;0;88;1;3;4;1;83;1
568961;VilÈmov;351;235;66,95;235;235;100,00;15;0;0;29;2;16;19;8;1;7;0;0;3;0;3;57;0;1;38;0;3;2;1;30;0
552399;éelechovice;184;129;70,11;129;128;99,22;7;0;0;12;0;3;3;1;0;1;1;0;14;0;2;41;0;3;22;0;2;0;0;16;0
505862;éerotÌn;376;220;58,51;220;219;99,55;20;0;0;21;0;6;14;1;4;2;0;0;21;1;5;40;0;1;52;0;3;1;0;27;0
